number,name,about,okruh
45,Книшук Петро Васильович,"Освіта вища, член Всеукраїнського об’єднання ""Батьківщина"", ТОВ ""Прут-Генетик"", директор",21
46,Ковальчук Володимир Дмитрович,"Освіта вища, член Української партії, Головне управління юстиції Івано-Франк. області, перший заступник",б/м
47,Кондрат Іван Миколайович,"Освіта середня спеціальна, позапартійний, приватний підприємець",16
48,Костинюк Богдан Іванович,"Освіта вища, член Народного Руху України, заступник міністра МНС України у відставці (згідно част. 4 ст. 31 Закону України ""Про державну службу"")",б/м
49,Кузьма Микола Миколайович,"Освіта вища, член Всеукраїнського об’єднання ""Батьківщина"", Служба автомобільних доріг в Івано-Франківській області, перший заступник начальника",б/м
50,Кулай Ігор Йосипович,"Освіта вища, член Політичної партії ""Фронт Змін"", МП ""Біла Лілея"", директор",б/м
51,Купчак Володимир Романович,"Освіта вища, член Політичної партії ""Фронт Змін"", ВАТ ""Івано-Франківськгаз"", голова правління",б/м
52,Кучер Михайло (Богдан) Михайлович,"Освіта вища, позапартійний, Івано-Франківська обласна державна телерадіо-компанія, ведучий програм",б/м
53,Левицький Олександр Михайлович,"Освіта вища, член Всеукраїнського об’єднання ""Батьківщина"", Верховна Рада України, помічник-консультант народного депутата України",20
54,Лукань Ігор Михайлович,"Освіта незакінчена вища, член Партії регіонів, ТзОВ ""Укрспецбуд"", директор",б/м
55,Ляхович Галина Іванівна,"Освіта вища, позапартійна, Калуський факультет Тернопільського національного економічного університету, керівник структурного підрозділу",17
56,Матвійчук Ігор Володимирович,"Освіта вища, позапартійний, Виконавчий комітет Калуської міської ради, заступник міського голови",49
57,Матійчик Василь Олександрович,"Освіта вища, позапартійний, Асоціація платників податків України, гениральний директор",10
58,Мельник Михайло Григорович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , Івано-Франківський коледж фізичного виховання, викладач",б/м
59,Мердух Михайло Орестович,"Освіта вища, позапартійний, Приватне підприємство ""Сивуля"", директор",31
60,Митник Зіновій Миколайович,"Освіта вища, позапартійний, Міністерство охорони здоров’я України, міністр",54
61,Мулик Роман Миронович,"Освіта вища, член Партії регіонів, фізична особа-підприємець",б/м
62,Насалик Сергій Степанович,"Освіта вища, член Української партії, ТзОВ СП ""Галпласт"", директор",28
63,Негрич Михайло Михайлович,"Освіта вища, член Народної партії , Коломийська районна державна адміністрація, голова",19
64,Неміш Віктор Дмитрович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , приватний підприємець, директор",б/м
65,Неміш Дмитро Васильович,"Освіта вища, член Політичної партії ""Фронт Змін"", Коломийська районна рада, голова",б/м
66,Олійник Володимир Євгенович,"Освіта вища, член Політичної партії ""Наша Україна"", Приватне підприємство ""Домінанта Люкс"", відділ маркетингу, керівник",б/м
67,Олійник Ігор Мирославович,"Освіта вища, член Політичної партії ""Наша Україна"", Івано-Франківська обласна рада, голова",б/м
68,Олінійчук Микола Дмитрович,"Освіта вища, позапартійний, Головне управління охорони здоров""я Івано-Франківської ОДА, заступник начальника",12
69,Павлів Роман Михайлович,"Освіта вища, позапартійний, ТзОВ ""СП Будучність"", директор",32
70,Палійчук Микола Васильович,"Освіта вища, член Політичної партії ""Наша Україна"", Івано-Франківський національний технічний університет нафти і газу, доцент кафедри державного управління",55
71,Парфан Тарас Дмитрович,"Освіта вища, член Політичної партії ""Наша Україна"", тимчасово не працює",2
72,Петрів Василь Іванович,"Освіта вища, позапартійний, Калуська міська рада, заступник міського голови",51
73,Піцуряк Манолій Васильович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , Солотвинська районна лікарня, головний лікар",3
74,Поліш Володимир Віталійович,"Освіта вища, член Політичної партії ""Наша Україна"", Івано-Франківський РЕМ ВАТ ""Прикарпаттяобленерго"", директор",41
75,Попович Василь Борисович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , ТзОВ ""Місто НВ"", менеджер",б/м
76,Попович Володимир Васильович,"Освіта вища, позапартійний, Державна податкова адміністрація в Івано-Франківській області, заступник голови",26
77,Пушик Степан Григорович,"Освіта вища, член Політичної партії ""Наша Україна"", Прикарпатський національний університет ім. В. Стефаника, професор кафедри української літератури Інституту філології",б/м
78,Різник Микола Павлович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , ПП ""Франківськміськсплав"", директор",б/м
79,Романчук Андрій Володимирович,"Освіта вища, член Політичної партії ""Фронт Змін"", юридична компанія Мoris Group (м.Київ), керуючий партнер, адвокат",б/м
80,Романюк Юрій Дмитрович,"Освіта вища, член Всеукраїнського об’єднання ""Батьківщина"", Верховна Рада України, помічник-консультант народного депутата України",б/м
81,Семенюк Микола Федорович,"Освіта вища, член Української партії, пенсіонер",б/м
82,Семко Володимир Богданович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , пластовий Табір-Музей ""Сокіл"", директор",б/м
83,Сендерський Сергій Михайлович,"Освіта вища, позапартійний, дочірнє підприємство ""Івано-Франківський облавтодор"", начальник",б/м
84,Сенів Василь Іванович,"Освіта вища, позапартійний, Тлумацька районна державна адміністрація, голова",40
85,Сідаш Арсен Васильович,"Освіта незакінчена вища, член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", Верховна Рада України, помічник-консультант народного депутата України",б/м
86,Скоропад Тарас Ярославович,"Освіта вища, позапартійний, Лисецька ЦРЛ Тисменицького району, головний лікар",39
87,Скрипничук Василь Михайлович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , Карпатський факультет Академії муніципального управління, декан",б/м
88,Соляник Богдан Степанович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , ФОП Соляник Б.С., приватний підприємець",б/м
89,Струтинський Роман Йосипович,"Освіта вища, член Української Народної Партії, Івано-Франківська обласна державна адміністрація, заступник голови",6
90,Табачук Оксана Титівна,"Освіта вища, член Української партії, Калуська загальноосвітня школа №3, заступник директора з навчально-виховної роботи",50
91,Ткачівський Ярослав Васильович,"Освіта вища, позапартійний, Івано-Франківська письменницька організація НСПУ, відповідальний секрктар",7
92,Троценко Андрій Володимирович,"Освіта вища, член Всеукраїнського об’єднання ""Батьківщина"", Благодійна організація ""Екологічний форум Прикарпаття"", голова правління",б/м
93,Угрин Іван Михайлович,"Освіта вища, член Всеукраїнського об’єднання ""Батьківщина"", Верховна Рада України, помічник-консультант народного депутата України",36
94,Ульванська Ярослава Степанівна,"Освіта вища, член Української партії, Івано-Франківська ОДА, начальник управління праці",б/м
95,Фальбійчук Юрій Юрійович,"Освіта вища, член Народної партії , ДП Кутське лісове господарство, директор",24
96,Фейчук Віталій Васильович,"Освіта вища, член Політичної партії ""Фронт Змін"", Косівське районне УЕГГ, начальник",23
97,Фелик Олександр Іванович,"Освіта вища, член Партії регіонів, ТзОВ ""Легенда-Ф"", генеральний директор",б/м
98,Харук Іван Іванович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , Івано-Франківське обласне телебачення ""Галичина"", спеціальний кореспондент",43
99,Хованець Тарас Михайлович,"Освіта вища, член Всеукраїнського об’єднання ""Батьківщина"", ПАТ ""Івано-Франківськавто"", генеральний директор",б/м
100,Хопта Володимир Іванович,"Освіта середня спеціальна, член Політичної партії ""Фронт Змін"", ТзОв ""Даурія"", менеджер",27
101,Черневий Юрій Іванович,"Освіта вища, позапартійний, Прикарпатський лісогосподарський коледж, директор",46
102,Чернега Роман Тарасович,"Освіта вища, член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", Прикарпатський юридичний інститут Львівського державного університету внутрішніх справ, кандидат юридичних наук, доцент кафедри конституційного та міжнародного права",б/м
103,Шевченко Олександр Леонідович,"Освіта вища, позапартійний, ТзОВ ""Скорзонера"", директор",57
104,Шевчук Ігор Михайлович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , ПП ""Франківськ міськсплав"", інженер",45
105,Шинкарук Ярослав Іванович,"Освіта вища, член Партії ""ВІДРОДЖЕННЯ"", Косівська РДА, голова",22
106,Шкварилюк Володимир Васильович,"Освіта вища, член Політичної партії ""Фронт Змін"", АТ ""Банк ""Фінанси і кредит"", радник голови правління",б/м
107,Шкіндюк Іван Юрійович,"Освіта вища, позапартійний, Державна податкова інспекція у Верховинському районі, виконуючий обов’язки начальника",5
108,Шкутяк Петро Зіновійович,"Освіта вища, член Політичної партії ""Наша Україна"", Долинська районна державна адміністрація, голова",14
109,Шувальський Володимир Богданович,"Освіта вища, член Політичної партії ""Фронт Змін"", ТзОВ ""Захід"", директор",б/м
110,Шумега Ігор Станіславович,"Освіта вища, член Народного Руху України, підприємство ""Маш Експорт"", заступник генерального директора",б/м
111,Яворський Михайло Іванович,"Освіта вища, позапартійний, Івано-Франківська обласна санітарно-епідеміологічна станція, головний санітарний лікар Івано-Франківської області",42
112,Яковина Роман Павлович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , підприємство ""Енергосолар-Прикарпаття"", генеральний директор",б/м
113,Янків Ігор Тарасович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , Львівський державний університет фізичної культури, доцент",б/м
114,Яремчук Василь Петрович,"Освіта вища, позапартійний, тимчасово не працює",56
